"","index","input_gene","ortholog_gene"
"MAST3",8390,"MAST3","MAST3"
"ADAMTSL5",8391,"ADAMTSL5","ADAMTSL5"
"IL12RB1",8393,"IL12RB1","IL12RB1"
"DDX39A",8394,"DDX39A","DDX39A"
"ARRDC2",8395,"ARRDC2","ARRDC2"
"APC2",8396,"APC2","APC2"
"ADGRE5",8397,"ADGRE5","ADGRE5"
"PFKFB4",8399,"PFKFB4","PFKFB4"
"DAZAP1",8400,"DAZAP1","DAZAP1"
"KCNN1",8401,"KCNN1","KCNN1"
"MAPKAPK3",8402,"MAPKAPK3","MAPKAPK3"
"SHISA5",8403,"SHISA5","SHISA5"
"CCDC124",8404,"CCDC124","CCDC124"
"NDUFS7",8405,"NDUFS7","NDUFS7"
"ADGRL1",8406,"ADGRL1","ADGRL1"
"PWWP3A",8407,"PWWP3A","PWWP3A"
"TREX1",8408,"TREX1","TREX1"
"CIRBP",8409,"CIRBP","CIRBP"
"ATRIP",8410,"ATRIP","ATRIP"
"CISH",8411,"CISH","CISH"
"MIDN",8412,"MIDN","MIDN"
"HEMK1",8414,"HEMK1","HEMK1"
"ATP5F1D",8415,"ATP5F1D","ATP5F1D"
"JAK3",8416,"JAK3","JAK3"
"CBARP",8417,"CBARP","CBARP"
"STK11",8419,"STK11","STK11"
"SLC41A3",8421,"SLC41A3","SLC41A3"
"PRKACA",8422,"PRKACA","PRKACA"
"CCDC51",8424,"CCDC51","CCDC51"
"PLXNB1",8425,"PLXNB1","PLXNB1"
"NIBAN3",8426,"NIBAN3","NIBAN3"
"POLR2E",8427,"POLR2E","POLR2E"
"ARHGAP45",8430,"ARHGAP45","ARHGAP45"
"ABCA7",8432,"ABCA7","ABCA7"
"FCHO1",8433,"FCHO1","FCHO1"
"TMEM259",8434,"TMEM259","TMEM259"
"MAP1S",8437,"MAP1S","MAP1S"
"CFAP100",8438,"CFAP100","CFAP100"
"WDR18",8439,"WDR18","WDR18"
"NME6",8440,"NME6","NME6"
"ARID3A",8442,"ARID3A","ARID3A"
"PALM3",8443,"PALM3","PALM3"
"IL27RA",8444,"IL27RA","IL27RA"
"RFX1",8445,"RFX1","RFX1"
"ZXDC",8446,"ZXDC","ZXDC"
"CAMP",8447,"CAMP","CAMP"
"R3HDM4",8448,"R3HDM4","R3HDM4"
"DCAF15",8449,"DCAF15","DCAF15"
"MED16",8451,"MED16","MED16"
"CDC25A",8452,"CDC25A","CDC25A"
"TXNRD3",8453,"TXNRD3","TXNRD3"
"PLXNA1",8454,"PLXNA1","PLXNA1"
"PTBP1",8455,"PTBP1","PTBP1"
"CC2D1A",8456,"CC2D1A","CC2D1A"
"MAP4",8457,"MAP4","MAP4"
"PALM",8458,"PALM","PALM"
"PRSS57",8459,"PRSS57","PRSS57"
"RNF126",8460,"RNF126","RNF126"
"DHX30",8461,"DHX30","DHX30"
"POLRMT",8462,"POLRMT","POLRMT"
"ZSWIM4",8463,"ZSWIM4","ZSWIM4"
"C20H19orf53",8464,"C20H19orf53","C19orf53"
"MRI1",8465,"MRI1","MRI1"
"MBD4",8466,"MBD4","MBD4"
"CCDC130",8467,"CCDC130","YJU2B"
"SMARCC1",8469,"SMARCC1","SMARCC1"
"CACNA1A",8470,"CACNA1A","CACNA1A"
"TPRA1",8471,"TPRA1","TPRA1"
"TMEM40",8472,"TMEM40","TMEM40"
"MCM2",8473,"MCM2","MCM2"
"CSPG5",8474,"CSPG5","CSPG5"
"PODXL2",8475,"PODXL2","PODXL2"
"RAF1",8476,"RAF1","RAF1"
"ELP6",8478,"ELP6","ELP6"
"ABTB1",8479,"ABTB1","ABTB1"
"SCAP",8480,"SCAP","SCAP"
"MKRN2",8482,"MKRN2","MKRN2"
"PTPN23",8483,"PTPN23","PTPN23"
"MGLL",8485,"MGLL","MGLL"
"MKRN2OS",8486,"MKRN2OS","MKRN2OS"
"PPARG",8487,"PPARG","PPARG"
"MITF",8488,"MITF","MITF"
"TIMP4",8489,"TIMP4","TIMP4"
"KBTBD12",8490,"KBTBD12","KBTBD12"
"TAMM41",8491,"TAMM41","TAMM41"
"FRMD4B",8492,"FRMD4B","FRMD4B"
"KLHL18",8493,"KLHL18","KLHL18"
"SEC61A1",8494,"SEC61A1","SEC61A1"
"VGLL4",8495,"VGLL4","VGLL4"
"KIF9",8496,"KIF9","KIF9"
"RUVBL1",8497,"RUVBL1","RUVBL1"
"EEFSEC",8498,"EEFSEC","EEFSEC"
"FBXL12",8499,"FBXL12","FBXL12"
"ATG7",8502,"ATG7","ATG7"
"SETD2",8505,"SETD2","SETD2"
"RPN1",8506,"RPN1","RPN1"
"RAB7A",8507,"RAB7A","RAB7A"
"ARL6IP5",8508,"ARL6IP5","ARL6IP5"
"SLC6A1",8509,"SLC6A1","SLC6A1"
"UBA3",8511,"UBA3","UBA3"
"ZNF699",8512,"ZNF699","ZNF699"
"HMCES",8513,"HMCES","HMCES"
"TMF1",8514,"TMF1","TMF1"
"COPG1",8515,"COPG1","COPG1"
"CNBP",8516,"CNBP","CNBP"
"EOGT",8517,"EOGT","EOGT"
"NBEAL2",8518,"NBEAL2","NBEAL2"
"ZNF317",8519,"ZNF317","ZNF317"
"ISY1",8520,"ISY1","ISY1"
"RAB43",8522,"RAB43","RAB43"
"TMEM115",8523,"TMEM115","TMEM115"
"SUCLG2",8524,"SUCLG2","SUCLG2"
"ACAD9",8525,"ACAD9","ACAD9"
"CYB561D2",8526,"CYB561D2","CYB561D2"
"SEC13",8528,"SEC13","SEC13"
"NPRL2",8529,"NPRL2","NPRL2"
"INSR",8530,"INSR","INSR"
"CFAP92",8531,"CFAP92","CFAP92"
"KBTBD8",8532,"KBTBD8","KBTBD8"
"ZMYND10",8533,"ZMYND10","ZMYND10"
"LRIG1",8534,"LRIG1","LRIG1"
"RASSF1",8535,"RASSF1","RASSF1"
"SLC25A26",8536,"SLC25A26","SLC25A26"
"ARHGEF18",8537,"ARHGEF18","ARHGEF18"
"PEX11G",8538,"PEX11G","PEX11G"
"ZNF358",8540,"ZNF358","ZNF358"
"IQSEC1",8541,"IQSEC1","IQSEC1"
"PNPLA6",8544,"PNPLA6","PNPLA6"
"IRAK2",8545,"IRAK2","IRAK2"
"FANCD2",8549,"FANCD2","FANCD2"
"EMC3",8551,"EMC3","EMC3"
"PRRT3",8552,"PRRT3","PRRT3"
"IL17RC",8553,"IL17RC","IL17RC"
"IL17RE",8555,"IL17RE","IL17RE"
"JAGN1",8556,"JAGN1","JAGN1"
"RPUSD3",8557,"RPUSD3","RPUSD3"
"BSG",8558,"BSG","BSG"
"CDC34",8559,"CDC34","CDC34"
"TPGS1",8560,"TPGS1","TPGS1"
"GADD45GIP1",8561,"GADD45GIP1","GADD45GIP1"
"C3",8562,"C3","C3"
"PRICKLE2",8563,"PRICKLE2","PRICKLE2"
"CALR",8564,"CALR","CALR"
"FARSA",8565,"FARSA","FARSA"
"TNFSF14",8566,"TNFSF14","TNFSF14"
"ARPC4",8568,"ARPC4","ARPC4"
"GCDH",8569,"GCDH","GCDH"
"ATXN7",8570,"ATXN7","ATXN7"
"KLF1",8571,"KLF1","KLF1"
"TADA3",8572,"TADA3","TADA3"
"DNASE2",8573,"DNASE2","DNASE2"
"CAMK1",8574,"CAMK1","CAMK1"
"GNAI2",8575,"GNAI2","GNAI2"
"OGG1",8576,"OGG1","OGG1"
"CD70",8577,"CD70","CD70"
"MAST1",8578,"MAST1","MAST1"
"XAB2",8580,"XAB2","XAB2"
"NUP210",8581,"NUP210","NUP210"
"DENND1C",8583,"DENND1C","DENND1C"
"RNASEH2A",8585,"RNASEH2A","RNASEH2A"
"THOC7",8586,"THOC7","THOC7"
"THEG",8587,"THEG","SPMAP2"
"PRDX2",8588,"PRDX2","PRDX2"
"PCP2",8589,"PCP2","PCP2"
"MIER2",8590,"MIER2","MIER2"
"CRB3",8591,"CRB3","CRB3"
"JUNB",8592,"JUNB","JUNB"
"SLC25A23",8593,"SLC25A23","SLC25A23"
"STXBP2",8594,"STXBP2","STXBP2"
"PLPP2",8595,"PLPP2","PLPP2"
"SLC25A41",8596,"SLC25A41","SLC25A41"
"RETN",8597,"RETN","RETN"
"BRPF1",8598,"BRPF1","BRPF1"
"MCEMP1",8599,"MCEMP1","MCEMP1"
"KHSRP",8601,"KHSRP","KHSRP"
"HOOK2",8602,"HOOK2","HOOK2"
"FCER2",8603,"FCER2","FCER2"
"HDAC11",8604,"HDAC11","HDAC11"
"MTMR14",8606,"MTMR14","MTMR14"
"GET3",8607,"GET3","GET3"
"GTF2F1",8608,"GTF2F1","GTF2F1"
"EVI5L",8609,"EVI5L","EVI5L"
"TRIR",8610,"TRIR","TRIR"
"MLLT1",8611,"MLLT1","MLLT1"
"SETD5",8612,"SETD5","SETD5"
"TNPO2",8613,"TNPO2","TNPO2"
"ALKBH7",8614,"ALKBH7","ALKBH7"
"MAP2K7",8615,"MAP2K7","MAP2K7"
"THUMPD3",8616,"THUMPD3","THUMPD3"
"CLPP",8617,"CLPP","CLPP"
"SRGAP3",8618,"SRGAP3","SRGAP3"
"FBXW9",8619,"FBXW9","FBXW9"
"RAD18",8620,"RAD18","RAD18"
"DHPS",8622,"DHPS","DHPS"
"SNAPC2",8623,"SNAPC2","SNAPC2"
"RBM5",8624,"RBM5","RBM5"
"WDR83",8625,"WDR83","WDR83"
"TIMM44",8627,"TIMM44","TIMM44"
"RBM6",8628,"RBM6","RBM6"
"ACSBG2",8629,"ACSBG2","ACSBG2"
"FBLN2",8630,"FBLN2","FBLN2"
"RFX2",8633,"RFX2","RFX2"
"CAV3",8634,"CAV3","CAV3"
"CHCHD4",8635,"CHCHD4","CHCHD4"
"TMEM43",8636,"TMEM43","TMEM43"
"CCDC12",8637,"CCDC12","CCDC12"
"XPC",8638,"XPC","XPC"
"LSM3",8639,"LSM3","LSM3"
"PTH1R",8640,"PTH1R","PTH1R"
"RANBP3",8642,"RANBP3","RANBP3"
"SLC6A6",8643,"SLC6A6","SLC6A6"
"FHIT",8647,"FHIT","FHIT"
"MON1A",8649,"MON1A","MON1A"
"CAPS",8650,"CAPS","CAPS"
"CFAP20DC",8653,"CFAP20DC","CFAP20DC"
"DUS3L",8654,"DUS3L","DUS3L"
"LTF",8655,"LTF","LTF"
"EDEM1",8657,"EDEM1","EDEM1"
"CCRL2",8658,"CCRL2","CCRL2"
"ARL8B",8659,"ARL8B","ARL8B"
"PRR22",8660,"PRR22","PRR22"
"CCR5",8661,"CCR5","CCR5"
"CCR2",8662,"CCR2","CCR2"
"LONP1",8663,"LONP1","LONP1"
"FAM107A",8664,"FAM107A","FAM107A"
"CCR3",8665,"CCR3","CCR3"
"CCR1",8666,"CCR1","CCR1"
"FYCO1",8667,"FYCO1","FYCO1"
"ACOX2",8668,"ACOX2","ACOX2"
"CXCR6",8669,"CXCR6","CXCR6"
"KCTD6",8670,"KCTD6","KCTD6"
"CCR9",8671,"CCR9","CCR9"
"LZTFL1",8673,"LZTFL1","LZTFL1"
"SLC6A20",8675,"SLC6A20","SLC6A20"
"SACM1L",8676,"SACM1L","SACM1L"
"HSD11B1L",8677,"HSD11B1L","HSD11B1L"
"PXK",8678,"PXK","PXK"
"LIMD1",8679,"LIMD1","LIMD1"
"MICOS13",8680,"MICOS13","MICOS13"
"ACP5",8681,"ACP5","ACP5"
"LARS2",8682,"LARS2","LARS2"
"SAFB",8683,"SAFB","SAFB"
"SAFB2",8684,"SAFB2","SAFB2"
"PTPRS",8686,"PTPRS","PTPRS"
"ECSIT",8687,"ECSIT","ECSIT"
"CDCP1",8688,"CDCP1","CDCP1"
"ZNF653",8689,"ZNF653","ZNF653"
"CLEC3B",8690,"CLEC3B","CLEC3B"
"EXOSC7",8691,"EXOSC7","EXOSC7"
"KIF15",8692,"KIF15","KIF15"
"PRKCSH",8693,"PRKCSH","PRKCSH"
"ZDHHC3",8694,"ZDHHC3","ZDHHC3"
"RPP14",8695,"RPP14","HTD2"
"ABHD6",8696,"ABHD6","ABHD6"
"TMEM42",8697,"TMEM42","TMEM42"
"EPOR",8698,"EPOR","EPOR"
"KIAA1143",8699,"KIAA1143","KIAA1143"
"SWSAP1",8700,"SWSAP1","SWSAP1"
"ZNF502",8701,"ZNF502","ZNF502"
"TRAIP",8702,"TRAIP","TRAIP"
"INKA1",8704,"INKA1","INKA1"
"ATP13A1",8705,"ATP13A1","ATP13A1"
"CERS4",8706,"CERS4","CERS4"
"FLNB",8708,"FLNB","FLNB"
"CD320",8709,"CD320","CD320"
"GMIP",8711,"GMIP","GMIP"
"RPS28",8712,"RPS28","RPS28"
"KANK3",8713,"KANK3","KANK3"
"TMEM205",8714,"TMEM205","TMEM205"
"RAB3D",8715,"RAB3D","RAB3D"
"COLGALT1",8716,"COLGALT1","COLGALT1"
"PGLS",8717,"PGLS","PGLS"
"SLC27A1",8718,"SLC27A1","SLC27A1"
"SLMAP",8719,"SLMAP","SLMAP"
"KDM4B",8720,"KDM4B","KDM4B"
"UHRF1",8721,"UHRF1","UHRF1"
"IER2",8722,"IER2","IER2"
"PLVAP",8723,"PLVAP","PLVAP"
"ARRDC5",8724,"ARRDC5","ARRDC5"
"IP6K1",8725,"IP6K1","IP6K1"
"PBX4",8726,"PBX4","PBX4"
"GMPPB",8727,"GMPPB","GMPPB"
"STX10",8728,"STX10","STX10"
"PLIN3",8729,"PLIN3","PLIN3"
"DENND6A",8731,"DENND6A","DENND6A"
"CILP2",8732,"CILP2","CILP2"
"MVB12A",8733,"MVB12A","MVB12A"
"TICAM1",8734,"TICAM1","TICAM1"
"FEM1A",8735,"FEM1A","FEM1A"
"DPP9",8736,"DPP9","DPP9"
"NACC1",8737,"NACC1","NACC1"
"BST2",8738,"BST2","BST2"
"RNF123",8739,"RNF123","RNF123"
"TRMT1",8740,"TRMT1","TRMT1"
"NDUFA13",8741,"NDUFA13","NDUFA13"
"GTPBP3",8742,"GTPBP3","GTPBP3"
"MARCHF2",8743,"MARCHF2","MARCHF2"
"GATAD2A",8744,"GATAD2A","GATAD2A"
"ARF4",8746,"ARF4","ARF4"
"TNFAIP8L1",8747,"TNFAIP8L1","TNFAIP8L1"
"LDLR",8748,"LDLR","LDLR"
"ANO8",8749,"ANO8","ANO8"
"SEMA6B",8750,"SEMA6B","SEMA6B"
"HNRNPM",8751,"HNRNPM","HNRNPM"
"PDE12",8752,"PDE12","PDE12"
"MAU2",8753,"MAU2","MAU2"
"SUGP1",8754,"SUGP1","SUGP1"
"AMIGO3",8756,"AMIGO3","AMIGO3"
"MST1",8757,"MST1","MST1"
"SPC24",8759,"SPC24","SPC24"
"ABHD8",8761,"ABHD8","ABHD8"
"APEH",8762,"APEH","APEH"
"SMARCA4",8763,"SMARCA4","SMARCA4"
"NFIX",8764,"NFIX","NFIX"
"NR2F6",8765,"NR2F6","NR2F6"
"BABAM1",8766,"BABAM1","BABAM1"
"ZNF414",8767,"ZNF414","ZNF414"
"MYO1F",8768,"MYO1F","MYO1F"
"ADAMTS10",8769,"ADAMTS10","ADAMTS10"
"DAG1",8770,"DAG1","DAG1"
"APPL1",8772,"APPL1","APPL1"
"OCEL1",8773,"OCEL1","OCEL1"
"USE1",8774,"USE1","USE1"
"RAD23A",8775,"RAD23A","RAD23A"
"LRG1",8776,"LRG1","LRG1"
"YIPF2",8777,"YIPF2","YIPF2"
"TIMM29",8778,"TIMM29","TIMM29"
"HDGFL2",8779,"HDGFL2","HDGFL2"
"AMT",8780,"AMT","AMT"
"CARM1",8781,"CARM1","CARM1"
"MYO9B",8782,"MYO9B","MYO9B"
"UBXN6",8783,"UBXN6","UBXN6"
"CHAF1A",8784,"CHAF1A","CHAF1A"
"SH3GL1",8785,"SH3GL1","SH3GL1"
"IL17RD",8787,"IL17RD","IL17RD"
"ARHGEF3",8788,"ARHGEF3","ARHGEF3"
"MPND",8789,"MPND","MPND"
"TASOR",8791,"TASOR","TASOR"
"ADGRE1",8792,"ADGRE1","ADGRE1"
"STAP2",8793,"STAP2","STAP2"
"HAUS8",8794,"HAUS8","HAUS8"
"CPAMD8",8795,"CPAMD8","CPAMD8"
"YJU2",8796,"YJU2","YJU2"
"EBI3",8797,"EBI3","EBI3"
"ANKRD24",8798,"ANKRD24","ANKRD24"
"SIRT6",8799,"SIRT6","SIRT6"
"F2RL3",8800,"F2RL3","F2RL3"
"VAV1",8801,"VAV1","VAV1"
"MAP2K2",8802,"MAP2K2","MAP2K2"
"ZBTB7A",8803,"ZBTB7A","ZBTB7A"
"EEF2",8804,"EEF2","EEF2"
"PIAS4",8805,"PIAS4","PIAS4"
"DAPK3",8806,"DAPK3","DAPK3"
"ZFR2",8807,"ZFR2","ZFR2"
"MATK",8808,"MATK","MATK"
"CCDC66",8809,"CCDC66","CCDC66"
"TCTA",8810,"TCTA","TCTA"
"MRPL54",8811,"MRPL54","MRPL54"
"APBA3",8812,"APBA3","APBA3"
"TJP3",8813,"TJP3","TJP3"
"PIP5K1C",8814,"PIP5K1C","PIP5K1C"
"CACTIN",8815,"CACTIN","CACTIN"
"TBXA2R",8816,"TBXA2R","TBXA2R"
"HMG20B",8818,"HMG20B","HMG20B"
"MFSD12",8819,"MFSD12","MFSD12"
"RHOA",8820,"RHOA","RHOA"
"C20H19orf38",8821,"C20H19orf38","C19orf38"
"SIN3B",8822,"SIN3B","SIN3B"
"SH2D3A",8823,"SH2D3A","SH2D3A"
"TMED1",8824,"TMED1","TMED1"
"TRIP10",8825,"TRIP10","TRIP10"
"GPX1",8826,"GPX1","GPX1"
"USP4",8828,"USP4","USP4"
"C20H3orf62",8829,"C20H3orf62","C3orf62"
"GPR108",8830,"GPR108","GPR108"
"TMEM38A",8831,"TMEM38A","TMEM38A"
"IHO1",8832,"IHO1","IHO1"
"SLC35E1",8835,"SLC35E1","SLC35E1"
"KLHDC8B",8836,"KLHDC8B","KLHDC8B"
"ILF3",8838,"ILF3","ILF3"
"LAMB2",8839,"LAMB2","LAMB2"
"CHERP",8840,"CHERP","CHERP"
"C20H19orf44",8841,"C20H19orf44","C19orf44"
"USP19",8842,"USP19","USP19"
"EPS15L1",8843,"EPS15L1","EPS15L1"
"QARS1",8844,"QARS1","QARS1"
"AP1M1",8846,"AP1M1","AP1M1"
"HSH2D",8848,"HSH2D","HSH2D"
"QRICH1",8850,"QRICH1","QRICH1"
"SLC44A2",8851,"SLC44A2","SLC44A2"
"IMPDH2",8853,"IMPDH2","IMPDH2"
"NDUFAF3",8854,"NDUFAF3","NDUFAF3"
"DALRD3",8855,"DALRD3","DALRD3"
"WDR6",8856,"WDR6","WDR6"
"AP1M2",8857,"AP1M2","AP1M2"
"P4HTM",8859,"P4HTM","P4HTM"
"CDKN2D",8860,"CDKN2D","CDKN2D"
"SELENOK",8861,"SELENOK","SELENOK"
"KRI1",8862,"KRI1","KRI1"
"ATG4D",8863,"ATG4D","ATG4D"
"ACTR8",8864,"ACTR8","ACTR8"
"IL17RB",8865,"IL17RB","IL17RB"
"KEAP1",8867,"KEAP1","KEAP1"
"CHDH",8868,"CHDH","CHDH"
"PDE4A",8869,"PDE4A","PDE4A"
"CACNA1D",8870,"CACNA1D","CACNA1D"
"CDC37",8871,"CDC37","CDC37"
"TYK2",8872,"TYK2","TYK2"
"DCP1A",8873,"DCP1A","DCP1A"
"TKT",8874,"TKT","TKT"
"PRKCD",8875,"PRKCD","PRKCD"
"SFMBT1",8877,"SFMBT1","SFMBT1"
"NEK4",8879,"NEK4","NEK4"
"SPCS1",8880,"SPCS1","SPCS1"
"GLT8D1",8881,"GLT8D1","GLT8D1"
"GNL3",8882,"GNL3","GNL3"
"ICAM3",8883,"ICAM3","ICAM3"
"PBRM1",8884,"PBRM1","PBRM1"
"ICAM4",8887,"ICAM4","ICAM4"
"ICAM1",8888,"ICAM1","ICAM1"
"MRPL4",8889,"MRPL4","MRPL4"
"SMIM4",8890,"SMIM4","UQCC5"
"NT5DC2",8891,"NT5DC2","NT5DC2"
"STAB1",8892,"STAB1","STAB1"
"NISCH",8893,"NISCH","NISCH"
"TNNC1",8894,"TNNC1","TNNC1"
"DNMT1",8895,"DNMT1","DNMT1"
"EIF3G",8896,"EIF3G","EIF3G"
"P2RY11",8897,"P2RY11","P2RY11"
"PPAN",8898,"PPAN","PPAN"
"ANGPTL6",8899,"ANGPTL6","ANGPTL6"
"SHFL",8900,"SHFL","SHFL"
"PIN1",8901,"PIN1","PIN1"
"SIPA1",8903,"SIPA1","SIPA1"
"PPP6R3",8906,"PPP6R3","PPP6R3"
"PIDD1",8909,"PIDD1","PIDD1"
"PNPLA2",8911,"PNPLA2","PNPLA2"
"LRP5",8912,"LRP5","LRP5"
"CRACR2B",8913,"CRACR2B","CRACR2B"
"C18H11orf24",8914,"C18H11orf24","C11orf24"
"CD151",8915,"CD151","CD151"
"TSPAN4",8917,"TSPAN4","TSPAN4"
"KMT5B",8918,"KMT5B","KMT5B"
"PCNX3",8920,"PCNX3","PCNX3"
"B4GALNT4",8922,"B4GALNT4","B4GALNT4"
"CHKA",8923,"CHKA","CHKA"
"SIGIRR",8926,"SIGIRR","SIGIRR"
"ANO9",8927,"ANO9","ANO9"
"AP2A2",8928,"AP2A2","AP2A2"
"PTDSS2",8929,"PTDSS2","PTDSS2"
"RNH1",8930,"RNH1","RNH1"
"HRAS",8931,"HRAS","HRAS"
"TCIRG1",8932,"TCIRG1","TCIRG1"
"NDUFS8",8933,"NDUFS8","NDUFS8"
"UNC93B1",8935,"UNC93B1","UNC93B1"
"NDUFV1",8936,"NDUFV1","NDUFV1"
"C18H7orf57",8937,"C18H7orf57","C7orf57"
"ZPBP",8940,"ZPBP","ZPBP"
"IKZF1",8941,"IKZF1","IKZF1"
"FIGNL1",8942,"FIGNL1","FIGNL1"
"LRRC56",8943,"LRRC56","LRRC56"
"MAP3K11",8945,"MAP3K11","MAP3K11"
"LMNTD2",8946,"LMNTD2","LMNTD2"
"KCNK7",8947,"KCNK7","KCNK7"
"RASSF7",8949,"RASSF7","RASSF7"
"EHBP1L1",8950,"EHBP1L1","EHBP1L1"
"PHRF1",8951,"PHRF1","PHRF1"
"FAM89B",8953,"FAM89B","FAM89B"
"DEAF1",8954,"DEAF1","DEAF1"
"ZNRD2",8955,"ZNRD2","ZNRD2"
"EPS8L2",8958,"EPS8L2","EPS8L2"
"LTBP3",8959,"LTBP3","LTBP3"
"AIP",8961,"AIP","AIP"
"ALKBH3",8962,"ALKBH3","ALKBH3"
"SCYL1",8963,"SCYL1","SCYL1"
"TMEM134",8964,"TMEM134","TMEM134"
"HSD17B12",8965,"HSD17B12","HSD17B12"
"FRMD8",8967,"FRMD8","FRMD8"
"GRB10",8968,"GRB10","GRB10"
"TTC17",8969,"TTC17","TTC17"
"API5",8970,"API5","API5"
"CORO1B",8971,"CORO1B","CORO1B"
"RPS6KB2",8972,"RPS6KB2","RPS6KB2"
"CARNS1",8973,"CARNS1","CARNS1"
"DPF2",8974,"DPF2","DPF2"
"TBC1D10C",8975,"TBC1D10C","TBC1D10C"
"PPP1CA",8976,"PPP1CA","PPP1CA"
"IFTAP",8977,"IFTAP","IFTAP"
"CDC42EP2",8978,"CDC42EP2","CDC42EP2"
"POLA2",8979,"POLA2","POLA2"
"RAD9A",8980,"RAD9A","RAD9A"
"TRAF6",8981,"TRAF6","TRAF6"
"PRR5L",8982,"PRR5L","PRR5L"
"CAPN1",8985,"CAPN1","CAPN1"
"COMMD9",8986,"COMMD9","COMMD9"
"SSH3",8987,"SSH3","SSH3"
"SYVN1",8988,"SYVN1","SYVN1"
"LDLRAD3",8989,"LDLRAD3","LDLRAD3"
"TRIM44",8990,"TRIM44","TRIM44"
"MRPL49",8991,"MRPL49","MRPL49"
"FAU",8992,"FAU","FAU"
"ANKRD13D",8993,"ANKRD13D","ANKRD13D"
"TCP11L1",8994,"TCP11L1","TCP11L1"
"ZNHIT2",8995,"ZNHIT2","ZNHIT2"
"SLC3A2",8996,"SLC3A2","SLC3A2"
"TM7SF2",8997,"TM7SF2","TM7SF2"
"WDR74",8999,"WDR74","WDR74"
"DEPDC7",9000,"DEPDC7","DEPDC7"
"QSER1",9001,"QSER1","QSER1"
"SLC1A2",9002,"SLC1A2","SLC1A2"
"VPS51",9003,"VPS51","VPS51"
"GRK2",9004,"GRK2","GRK2"
"KDM2A",9005,"KDM2A","KDM2A"
"TMEM262",9006,"TMEM262","TMEM262"
"ZFPL1",9007,"ZFPL1","ZFPL1"
"CDCA5",9008,"CDCA5","CDCA5"
"STX5",9009,"STX5","STX5"
"NXF1",9010,"NXF1","NXF1"
"RHOD",9011,"RHOD","RHOD"
"TMEM223",9012,"TMEM223","TMEM223"
"TMEM179B",9013,"TMEM179B","TMEM179B"
"TAF6L",9014,"TAF6L","TAF6L"
"CCDC73",9015,"CCDC73","CCDC73"
"SAC3D1",9016,"SAC3D1","SAC3D1"
"PC",9017,"PC","PC"
"POLR2G",9018,"POLR2G","POLR2G"
"SNX15",9019,"SNX15","SNX15"
"ZBTB3",9020,"ZBTB3","ZBTB3"
"TTC9C",9021,"TTC9C","TTC9C"
"EIF3M",9022,"EIF3M","EIF3M"
"BATF2",9025,"BATF2","BATF2"
"BSCL2",9027,"BSCL2","BSCL2"
"GPHA2",9028,"GPHA2","GPHA2"
"CD44",9029,"CD44","CD44"
"PPP2R5B",9030,"PPP2R5B","PPP2R5B"
"GNG3",9031,"GNG3","GNG3"
"ATG2A",9032,"ATG2A","ATG2A"
"UBXN1",9033,"UBXN1","UBXN1"
"RCN1",9034,"RCN1","RCN1"
"ELP4",9035,"ELP4","ELP4"
"UQCC3",9036,"UQCC3","UQCC3"
"EHD1",9038,"EHD1","EHD1"
"CSKMT",9039,"CSKMT","CSKMT"
"IMMP1L",9040,"IMMP1L","IMMP1L"
"INTS5",9041,"INTS5","INTS5"
"GANAB",9042,"GANAB","GANAB"
"MEN1",9043,"MEN1","MEN1"
"ARL14EP",9044,"ARL14EP","ARL14EP"
"PATL1",9045,"PATL1","PATL1"
"B3GAT3",9046,"B3GAT3","B3GAT3"
"PDHX",9047,"PDHX","PDHX"
"LRFN4",9048,"LRFN4","LRFN4"
"ROM1",9049,"ROM1","ROM1"
"RCE1",9050,"RCE1","RCE1"
"OSBP",9051,"OSBP","OSBP"
"EML3",9052,"EML3","EML3"
"APIP",9053,"APIP","APIP"
"SPTBN2",9054,"SPTBN2","SPTBN2"
"RBM4B",9055,"RBM4B","RBM4B"
"RBM14",9056,"RBM14","RBM14"
"MTA2",9057,"MTA2","MTA2"
"FAM111B",9060,"FAM111B","FAM111B"
"GLYAT",9061,"GLYAT","GLYAT"
"CCS",9064,"CCS","CCS"
"CAT",9065,"CAT","CAT"
"TUT1",9066,"TUT1","TUT1"
"CTSF",9067,"CTSF","CTSF"
"MAP4K2",9069,"MAP4K2","MAP4K2"
"ABTB2",9072,"ABTB2","ABTB2"
"AHNAK",9073,"AHNAK","AHNAK"
"ACTN3",9074,"ACTN3","ACTN3"
"SF1",9075,"SF1","SF1"
"ZDHHC24",9079,"ZDHHC24","ZDHHC24"
"NAT10",9081,"NAT10","NAT10"
"INCENP",9082,"INCENP","INCENP"
"CAPRIN1",9083,"CAPRIN1","CAPRIN1"
"TOLLIP",9085,"TOLLIP","TOLLIP"
"BEST1",9086,"BEST1","BEST1"
"CTNND1",9087,"CTNND1","CTNND1"
"RAB3IL1",9088,"RAB3IL1","RAB3IL1"
"LMO2",9089,"LMO2","LMO2"
"FBXO3",9090,"FBXO3","FBXO3"
"PYGM",9091,"PYGM","PYGM"
"DPP3",9092,"DPP3","DPP3"
"CD59",9093,"CD59","CD59"
"FADS2",9094,"FADS2","FADS2"
"RASGRP2",9095,"RASGRP2","RASGRP2"
"MOB2",9096,"MOB2","MOB2"
"FADS1",9097,"FADS1","FADS1"
"NRXN2",9098,"NRXN2","NRXN2"
